iter	Passed	Remaining
0	4	404
1	7	373
2	11	362
3	14	339
4	18	343
5	21	338
6	25	336
7	28	332
8	31	320
9	33	304
10	36	291
11	38	280
12	40	269
13	42	260
14	44	252
15	46	245
16	48	239
17	51	233
18	53	227
19	55	222
20	57	217
21	59	210
22	60	203
23	62	197
24	63	191
25	65	185
26	66	180
27	68	175
28	69	170
29	71	165
30	72	161
31	73	156
32	75	152
33	76	148
34	78	145
35	79	141
36	80	137
37	82	134
38	83	130
39	85	127
40	86	124
41	86	119
42	87	116
43	89	113
44	90	110
45	91	107
46	92	104
47	93	101
48	94	98
49	95	95
50	96	92
51	97	90
52	98	87
53	99	84
54	100	82
55	101	79
56	102	77
57	103	74
58	104	72
59	105	70
60	106	67
61	106	65
62	107	63
63	108	61
64	109	59
65	110	56
66	111	54
67	112	52
68	113	50
69	113	48
70	114	46
71	115	44
72	116	43
73	117	41
74	117	39
75	118	37
76	119	35
77	120	33
78	121	32
79	122	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	126	20
86	127	19
87	128	17
88	129	15
89	130	14
90	131	12
91	131	11
92	132	9
93	133	8
94	134	7
95	135	5
96	135	4
97	136	2
98	137	1
99	138	0
